"PUBCHEM_CID","conc_uM","activity","SMILES"
829764,0.049,6.35,"CCN(CC)C1=CC2=C(C=C1)OC(=O)C(=N2)C"
939236,0.049,-3.45,"COC1=CC2=C(C=C1)NC(=O)C(=C2)CNC3=CC=CC=C3OC"
2118097,0.049,5.6,"C1CCC(=NCC1)NS(=O)(=O)C2=CC3=C(C=C2)SC(=N3)N"
2301472,0.049,4.35,"C1=COC(=C1)C2=NC3=C(C=C(C=C3)NC(=O)NCCCO)N=C2C4=CC=CO4"
2338527,0.049,6.85,"C1COCCN1S(=O)(=O)C2=CC3=C(C=C2)N=C(C(=N3)C4=CC=CO4)C5=CC=CO5"
2795856,0.049,2.6,"CC(C)(C)C1=CC=C(C=C1)NC(=O)N2CCN(CC2)C3=NC=C(C=C3)[N+](=O)[O-]"
2939678,0.049,2.25,"C1=CC=C2C(=C1)C(=CC(=C2O)SCC(=O)O)NS(=O)(=O)C3=CC=CC(=C3)[N+](=O)[O-]"
5310645,0.049,2.95,"CC1=CC2=C(C=CC=C2N=N1)N"
135491645,0.049,6.6,"C1COCCN1S(=O)(=O)C2=CC=C(C=C2)N=C3NN=C(CS3)C4=C(C=CC(=C4)F)F"
829764,0.111,1.8,"CCN(CC)C1=CC2=C(C=C1)OC(=O)C(=N2)C"
939236,0.111,3.3,"COC1=CC2=C(C=C1)NC(=O)C(=C2)CNC3=CC=CC=C3OC"
1350609,0.111,10.3339,"CC1=CC(=CC=C1)NC(=O)C2=C(SC3=C2CCCC3)NC(=O)C4=CC=CC=C4"
2118097,0.111,4.6,"C1CCC(=NCC1)NS(=O)(=O)C2=CC3=C(C=C2)SC(=N3)N"
2301472,0.111,5.35,"C1=COC(=C1)C2=NC3=C(C=C(C=C3)NC(=O)NCCCO)N=C2C4=CC=CO4"
2338527,0.111,2.6,"C1COCCN1S(=O)(=O)C2=CC3=C(C=C2)N=C(C(=N3)C4=CC=CO4)C5=CC=CO5"
2790671,0.111,14.4,"CC1=CC(=CC=C1)OCCCC(=O)NC2=C(C3=C(S2)CCC3C(=O)OC)C(=O)OC"
2795856,0.111,4.1,"CC(C)(C)C1=CC=C(C=C1)NC(=O)N2CCN(CC2)C3=NC=C(C=C3)[N+](=O)[O-]"
2939678,0.111,2.05,"C1=CC=C2C(=C1)C(=CC(=C2O)SCC(=O)O)NS(=O)(=O)C3=CC=CC(=C3)[N+](=O)[O-]"
4094710,0.111,12.6783,"CCN(CC)S(=O)(=O)C1=CC=CC(=C1)NC(=O)NC2=CC=CC(=C2)C(F)(F)F"
5310645,0.111,3.1,"CC1=CC2=C(C=CC=C2N=N1)N"
9795907,0.111,5.3505,"C1=CC=C(C=C1)N2C(=O)C3=C(SC=C3C(=N2)C(=O)O)N"
25181366,0.111,4.8,"CN(C)C1=CC=C(C=C1)C2=C(C(=O)NC=C2)N"
25181383,0.111,-2.1175,"C1=CC=C(C=C1)N2C(=O)C3=C(SC=C3C(=N2)N)N"
135491645,0.111,3.4,"C1COCCN1S(=O)(=O)C2=CC=C(C=C2)N=C3NN=C(CS3)C4=C(C=CC(=C4)F)F"
829764,0.223,7.1,"CCN(CC)C1=CC2=C(C=C1)OC(=O)C(=N2)C"
939236,0.223,6,"COC1=CC2=C(C=C1)NC(=O)C(=C2)CNC3=CC=CC=C3OC"
1350609,0.223,7.9491,"CC1=CC(=CC=C1)NC(=O)C2=C(SC3=C2CCCC3)NC(=O)C4=CC=CC=C4"
2118097,0.223,4.1,"C1CCC(=NCC1)NS(=O)(=O)C2=CC3=C(C=C2)SC(=N3)N"
2301472,0.223,6.6,"C1=COC(=C1)C2=NC3=C(C=C(C=C3)NC(=O)NCCCO)N=C2C4=CC=CO4"
2338527,0.223,6.1,"C1COCCN1S(=O)(=O)C2=CC3=C(C=C2)N=C(C(=N3)C4=CC=CO4)C5=CC=CO5"
2790671,0.223,3.2,"CC1=CC(=CC=C1)OCCCC(=O)NC2=C(C3=C(S2)CCC3C(=O)OC)C(=O)OC"
2795856,0.223,5.1,"CC(C)(C)C1=CC=C(C=C1)NC(=O)N2CCN(CC2)C3=NC=C(C=C3)[N+](=O)[O-]"
2939678,0.223,3.85,"C1=CC=C2C(=C1)C(=CC(=C2O)SCC(=O)O)NS(=O)(=O)C3=CC=CC(=C3)[N+](=O)[O-]"
4094710,0.223,13.4707,"CCN(CC)S(=O)(=O)C1=CC=CC(=C1)NC(=O)NC2=CC=CC(=C2)C(F)(F)F"
5310645,0.223,2.75,"CC1=CC2=C(C=CC=C2N=N1)N"
9795907,0.223,4.2804,"C1=CC=C(C=C1)N2C(=O)C3=C(SC=C3C(=N2)C(=O)O)N"
25181366,0.223,2.4,"CN(C)C1=CC=C(C=C1)C2=C(C(=O)NC=C2)N"
25181383,0.223,-5.2938,"C1=CC=C(C=C1)N2C(=O)C3=C(SC=C3C(=N2)N)N"
135491645,0.223,6.85,"C1COCCN1S(=O)(=O)C2=CC=C(C=C2)N=C3NN=C(CS3)C4=C(C=CC(=C4)F)F"
829764,0.389,6.85,"CCN(CC)C1=CC2=C(C=C1)OC(=O)C(=N2)C"
939236,0.389,3,"COC1=CC2=C(C=C1)NC(=O)C(=C2)CNC3=CC=CC=C3OC"
2118097,0.389,5.1,"C1CCC(=NCC1)NS(=O)(=O)C2=CC3=C(C=C2)SC(=N3)N"
2301472,0.389,6.6,"C1=COC(=C1)C2=NC3=C(C=C(C=C3)NC(=O)NCCCO)N=C2C4=CC=CO4"
2338527,0.389,4.85,"C1COCCN1S(=O)(=O)C2=CC3=C(C=C2)N=C(C(=N3)C4=CC=CO4)C5=CC=CO5"
2795856,0.389,2.85,"CC(C)(C)C1=CC=C(C=C1)NC(=O)N2CCN(CC2)C3=NC=C(C=C3)[N+](=O)[O-]"
2939678,0.389,5.7,"C1=CC=C2C(=C1)C(=CC(=C2O)SCC(=O)O)NS(=O)(=O)C3=CC=CC(=C3)[N+](=O)[O-]"
5310645,0.389,3.15,"CC1=CC2=C(C=CC=C2N=N1)N"
135491645,0.389,6.85,"C1COCCN1S(=O)(=O)C2=CC=C(C=C2)N=C3NN=C(CS3)C4=C(C=CC(=C4)F)F"
1350609,0.446,7.1542,"CC1=CC(=CC=C1)NC(=O)C2=C(SC3=C2CCCC3)NC(=O)C4=CC=CC=C4"
2790671,0.446,7.2,"CC1=CC(=CC=C1)OCCCC(=O)NC2=C(C3=C(S2)CCC3C(=O)OC)C(=O)OC"
4094710,0.446,19.8098,"CCN(CC)S(=O)(=O)C1=CC=CC(=C1)NC(=O)NC2=CC=CC(=C2)C(F)(F)F"
9795907,0.446,4.8154,"C1=CC=C(C=C1)N2C(=O)C3=C(SC=C3C(=N2)C(=O)O)N"
25181366,0.446,6.4,"CN(C)C1=CC=C(C=C1)C2=C(C(=O)NC=C2)N"
25181383,0.446,-3.1763,"C1=CC=C(C=C1)N2C(=O)C3=C(SC=C3C(=N2)N)N"
829764,0.89,5.9,"CCN(CC)C1=CC2=C(C=C1)OC(=O)C(=N2)C"
